room_id,geometry,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C9,4,30,0.9844843958757423,12.762481258272294,5.857,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,baseline,,,0.9974682970911275,22.268625210191892,,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C1,2,10,0.9618997488961902,8.400384437892699,1.69,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C2,2,20,0.9523093127961376,5.676989719874208,2.97,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C3,2,30,0.9491444777490106,4.992947848829609,6.806,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C4,3,10,0.9831029694809441,14.07223062684861,1.505,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C5,3,20,0.9790871000250352,12.47171558116632,3.022,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C6,3,30,0.9778324658964371,12.080272224699012,25.585,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C7,4,10,0.9939459610218468,19.224110064605426,2.076,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C8,4,20,0.9920437633643687,17.645562617852057,2.897,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,3570-5694-0006,C9,4,30,0.991469323030708,17.282100347162356,8.277,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,6829-68769-0012,baseline,,,0.9974897326960082,20.944383600949696,,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,6829-68769-0012,C1,2,10,0.9563855784521841,6.83912936528147,0.532,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,6829-68769-0012,C2,2,20,0.947609605236924,6.057144091266346,1.06,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,6829-68769-0012,C3,2,30,0.9446315290477744,5.652690492930205,4.309,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,6829-68769-0012,C4,3,10,0.9784160620216938,11.0128771581517,0.526,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,6829-68769-0012,C5,3,20,0.9753845587613343,10.403239399870966,1.025,False,False,
