room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C7,4,10,0.9882354405028635,16.354627432472284,0.5,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C8,4,20,0.9876120108778869,16.2567119028826,0.977,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C9,4,30,0.9871677789366179,16.33290577448053,3.816,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,baseline,,,0.821203234438176,9.534681873143171,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C1,2,10,0.7952246966232129,7.0110370435943095,1.924,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C2,2,20,0.7923810659311014,6.816304575796139,3.648,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C3,2,30,0.7921163164775555,6.8028236387516525,8.004,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C4,3,10,0.8066430798644475,8.110206090651658,1.963,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C5,3,20,0.8048185175962523,8.006024217194689,3.776,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C6,3,30,0.804765728345777,8.00815606785456,8.781,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C7,4,10,0.8155439753343213,8.97568559968277,1.986,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,10dB,8230-279154-0037,C8,4,20,0.8140351463334455,8.886545877499906,3.704,False,False,
